name,ra,dec,redshift
SN 1993O,312.41328,28.92589,
SN 1998E,311.97451,29.02994,
SN 1974B,311.97375,29.0323,
SN 2008br,265.49495,16.62401,
SN 2008co,265.49538,16.63055,
SN 2009mu,264.92834,16.23963,
SN 1990Y,232.64531,-53.85411,
SN 2010jd,232.64504,-53.85564,
SN 1998dd,316.28743,28.36989,
SN 2012bu,275.9987,23.66609,
SN 1981A,233.1691,-46.58179,
SN 2008ii,305.5317,30.0242,
SN 1996bp,246.31904,-78.94592,
SN 2011ah,238.28649,-25.64395,
SN 2010jr,236.01666,-32.5751,
SN 2012hd,262.63896,-82.60745,
SN 1971F,322.40589,27.12505,
SN 2006dr,231.69713,-58.07845,
SN 2008bk,4.65896,-77.18627,
SN 1980H,316.50781,28.8456,
SN 2008ef,270.20573,20.87355,
SN 1990ak,311.08096,29.91764,
SN 2001ba,285.39057,28.02816,
SN 1992ai,247.36509,-80.33712,
SN 2012dl,5.46362,-18.08756,
SN 2012ag,315.13464,29.68339,
SN 2009dl,292.33007,29.98806,0.1429
SN 2011ei,11.28245,-34.69916,
SN 1992T,315.53119,29.7238,
SN 2009it,9.17579,-27.15091,
SN 2006di,257.75771,-83.29778,
SN 1982J,314.78528,30.04181,
SN 1972E,314.8399,30.08003,
SN 1895B,314.86684,30.10987,
SN 2003bj,309.64098,30.89202,
SN 1998Q,313.13548,30.42826,
SN 1995C,291.25815,30.19446,
SN 2004ej,265.26446,18.50433,
SN 2008bp,265.2601,18.50224,
SN 2010bo,342.90224,16.63042,
SN 2003bg,231.01808,-46.63741,
SN 1998Z,234.8698,-31.14776,
SN 2004S,240.78651,-14.79685,
SN 2003jg,262.57494,16.7627,
SN 2008eh,262.5961,16.79472,
SN 1998bs,311.70081,31.12114,
SN 2012hy,305.44506,31.88174,
SN 2012eq,275.84515,-85.84689,
SN 1958D,288.56992,30.4872,
SN 2010lr,11.40723,-78.72901,
SN 1997df,229.91956,-46.91435,
SN 1993H,318.2223,30.33567,
SN 1992an,314.57838,31.13777,
SN 2009as,330.55745,25.9163,
SN 2001gg,329.59584,-87.05323,0.61
SN 2009gb,330.55936,25.92549,
SN 1958C,304.64445,32.26271,
SN 2005al,317.58122,30.62409,
SN 2012el,340.77096,19.66891,
SN 2010in,246.57537,-83.58374,
SN 2004cx,15.45145,-75.68508,
SN 2010hg,262.15536,17.39234,
SN 2000di,251.75256,-84.57754,
SN 1988U,8.73685,-81.22642,0.31
SN 1993P,312.56545,31.74702,
SN 1999eu,227.01632,-64.67431,
SN 2013hn,317.4205,30.95682,
SN 2013dm,317.88198,30.85421,
SN 1992bd,226.91494,-64.68076,
SN 2003ce,266.54439,21.16347,
SN 2003B,226.80773,-64.69948,
SN 2014co,250.46001,-84.77857,
SN 1990S,291.27522,31.66984,
SN 2014do,249.27583,3.11816,
SN 1995S,296.89221,32.4967,
SN 1985I,317.47904,31.21671,
SN 1992Z,312.51281,32.15719,
SN 2012ce,278.92207,28.35544,
SN 2001dm,227.9157,-75.62903,
SN 1983N,314.53471,31.94571,
SN 1945B,314.57924,31.97142,
SN 1950B,314.57924,31.97142,
SN 1968L,314.58171,31.97239,
